text,sentiment
I think this is a terrible experience,negative
I think the experience was wonderful,positive
"Overall, the application has several features.",neutral
"Overall, everything went wrong.",negative
"Overall, i would recommend this product.",positive
"Overall, the application is frustrating today.",negative
I think the product has a standard design.,neutral
"Overall, the package arrived yesterday today.",neutral
"In my opinion, i received the package",neutral
"In my opinion, this is a very bad product.",negative
The service was great,positive
"Overall, the product is listed on the website",neutral
"Personally, the experience was disappointing.",negative
I think the package arrived yesterday,neutral
"Personally, the service is horrible.",negative
"Personally, this is a very good product",positive
"In my opinion, i received the package today.",neutral
"Personally, the product arrived today today.",neutral
I think the application is impressive today.,positive
"In my opinion, i am extremely disappointed today.",negative
The service is available today,neutral
"Personally, the package arrived yesterday today.",neutral
"Overall, i really like this application today.",positive
"In my opinion, the application was updated today",neutral
I think the product arrived today.,neutral
"In my opinion, the service is provided online.",neutral
I think the service is horrible,negative
I am satisfied with the product,positive
"Personally, i really enjoyed the service",positive
I think i am very unhappy with the purchase,negative
"Personally, the application is frustrating.",negative
"Personally, this is a very good product.",positive
I think the service was fast and excellent today.,positive
"In my opinion, i opened the application today.",neutral
"In my opinion, the application contains several options today.",neutral
"In my opinion, the application does not work.",negative
The application has several features,neutral
"Personally, the application is frustrating",negative
"Personally, i hate this product",negative
"Personally, the service was fast and excellent.",positive
"Overall, i am disappointed with the product.",negative
"Overall, this application is very useful.",positive
"In my opinion, this is a very good product today.",positive
"In my opinion, the application was updated today today.",neutral
"Personally, i did not enjoy the service",negative
"Personally, i purchased this product today.",neutral
"Personally, the application has several features.",neutral
"Overall, the service is currently available.",neutral
Everything is working perfectly,positive
"In my opinion, the product failed completely",negative
The service was fast and excellent,positive
I think i really like this application.,positive
"Overall, the application was updated today today.",neutral
"Personally, i really enjoyed the service today.",positive
"Personally, i am very happy with the purchase.",positive
"Overall, the product is available online",neutral
"In my opinion, the package arrived yesterday today.",neutral
"In my opinion, the service was fast and excellent.",positive
Everything went wrong,negative
The application contains several options,neutral
"Overall, i hate this product.",negative
I think the product exceeded my expectations today.,positive
"Overall, the service starts at nine.",neutral
I think i am very happy with the purchase,positive
"In my opinion, the product is listed on the website today.",neutral
I think the application contains several options,neutral
